id,sonde_event_id,Date,Time,Temp,SpCond,DO
,5,2003-10-12,18:30:00,15.06,262,8.68
,5,2003-10-12,18:34:00,15.06,262,8.67
,5,2003-10-12,18:38:00,15.07,262,8.67
,5,2003-10-12,18:42:00,15.06,261,8.61
,5,2003-10-12,18:46:00,15.06,261,8.68
,5,2003-10-12,18:50:00,15.05,261,8.67
,5,2003-10-12,18:54:00,15.06,261,8.7
,5,2003-10-12,18:58:00,15.05,261,8.59
,5,2003-10-12,19:02:00,15.05,261,8.58
,5,2003-10-12,19:06:00,15.05,261,8.56
,5,2003-10-12,19:10:00,15.05,261,8.56
,5,2003-10-12,19:14:00,15.05,261,8.57
,5,2003-10-12,19:18:00,15.04,261,8.51
,5,2003-10-12,19:22:00,15.04,261,8.53
,5,2003-10-12,19:26:00,15.04,261,8.6
,5,2003-10-12,19:30:00,15.03,261,8.56
,5,2003-10-12,19:34:00,15.03,261,8.55
,5,2003-10-12,19:38:00,15.02,261,8.57
,5,2003-10-12,19:42:00,15.02,261,8.56
,5,2003-10-12,19:46:00,15.01,261,8.57
,5,2003-10-12,19:50:00,15.01,261,8.57
,5,2003-10-12,19:54:00,15.0,261,8.6
,5,2003-10-12,19:58:00,15.0,261,8.57
,5,2003-10-12,20:02:00,15.0,261,8.58
,5,2003-10-12,20:06:00,14.99,261,8.63
,5,2003-10-12,20:10:00,14.99,261,8.67
,5,2003-10-12,20:14:00,14.98,261,8.66
,5,2003-10-12,20:18:00,14.98,261,8.59
,5,2003-10-12,20:22:00,14.98,261,8.62
,5,2003-10-12,20:26:00,14.98,261,8.61
,5,2003-10-12,20:30:00,14.97,261,8.65
,5,2003-10-12,20:34:00,14.97,261,8.65
,5,2003-10-12,20:38:00,14.97,261,8.63
,5,2003-10-12,20:42:00,14.96,261,8.6
,5,2003-10-12,20:46:00,14.96,261,8.54
,5,2003-10-12,20:50:00,14.96,261,8.56
,5,2003-10-12,20:54:00,14.96,261,8.63
,5,2003-10-12,20:58:00,14.96,261,8.55
,5,2003-10-12,21:02:00,14.96,261,8.6
,5,2003-10-12,21:06:00,14.96,261,8.59
,5,2003-10-12,21:10:00,14.95,261,8.58
,5,2003-10-12,21:14:00,14.95,261,8.58
,5,2003-10-12,21:18:00,14.95,261,8.56
,5,2003-10-12,21:22:00,14.94,261,8.6
,5,2003-10-12,21:26:00,14.94,261,8.5
,5,2003-10-12,21:30:00,14.94,261,8.58
,5,2003-10-12,21:34:00,14.93,261,8.67
,5,2003-10-12,21:38:00,14.93,261,8.6
,5,2003-10-12,21:42:00,14.93,261,8.61
,5,2003-10-12,21:46:00,14.93,261,8.58
,5,2003-10-12,21:50:00,14.92,261,8.71
,5,2003-10-12,21:54:00,14.92,260,8.75
,5,2003-10-12,21:58:00,14.91,261,8.74
,5,2003-10-12,22:02:00,14.91,261,8.68
,5,2003-10-12,22:06:00,14.91,260,8.73
,5,2003-10-12,22:10:00,14.9,260,8.7
,5,2003-10-12,22:14:00,14.9,260,8.73
,5,2003-10-12,22:18:00,14.89,261,8.67
,5,2003-10-12,22:22:00,14.88,260,8.7
,5,2003-10-12,22:26:00,14.88,260,8.69
,5,2003-10-12,22:30:00,14.87,260,8.73
,5,2003-10-12,22:34:00,14.87,260,8.71
,5,2003-10-12,22:38:00,14.87,260,8.72
,5,2003-10-12,22:42:00,14.86,260,8.74
,5,2003-10-12,22:46:00,14.86,260,8.69
,5,2003-10-12,22:50:00,14.85,260,8.67
,5,2003-10-12,22:54:00,14.85,260,8.72
,5,2003-10-12,22:58:00,14.84,260,8.71
,5,2003-10-12,23:02:00,14.84,260,8.73
,5,2003-10-12,23:06:00,14.84,260,8.71
,5,2003-10-12,23:10:00,14.84,260,8.75
,5,2003-10-12,23:14:00,14.83,260,8.76
,5,2003-10-12,23:18:00,14.83,260,8.71
,5,2003-10-12,23:22:00,14.83,260,8.72
,5,2003-10-12,23:26:00,14.82,260,8.77
,5,2003-10-12,23:30:00,14.82,260,8.72
,5,2003-10-12,23:34:00,14.82,260,8.71
,5,2003-10-12,23:38:00,14.81,260,8.73
,5,2003-10-12,23:42:00,14.81,260,8.73
,5,2003-10-12,23:46:00,14.8,260,8.74
,5,2003-10-12,23:50:00,14.8,260,8.76
,5,2003-10-12,23:54:00,14.8,260,8.77
,5,2003-10-12,23:58:00,14.79,260,8.75
,5,2003-10-13,00:02:00,14.79,260,8.75
,5,2003-10-13,00:06:00,14.78,260,8.76
,5,2003-10-13,00:10:00,14.78,260,8.74
,5,2003-10-13,00:14:00,14.78,260,8.74
,5,2003-10-13,00:18:00,14.77,260,8.75
,5,2003-10-13,00:22:00,14.77,260,8.76
,5,2003-10-13,00:26:00,14.76,260,8.75
,5,2003-10-13,00:30:00,14.76,260,8.73
,5,2003-10-13,00:34:00,14.76,260,8.78
,5,2003-10-13,00:38:00,14.75,260,8.73
,5,2003-10-13,00:42:00,14.75,260,8.79
,5,2003-10-13,00:46:00,14.74,260,8.72
,5,2003-10-13,00:50:00,14.74,260,8.77
,5,2003-10-13,00:54:00,14.73,260,8.77
,5,2003-10-13,00:58:00,14.73,260,8.76
,5,2003-10-13,01:02:00,14.72,260,8.75
,5,2003-10-13,01:06:00,14.71,260,8.76
,5,2003-10-13,01:10:00,14.71,260,8.69
,5,2003-10-13,01:14:00,14.7,260,8.69
,5,2003-10-13,01:18:00,14.7,260,8.73
,5,2003-10-13,01:22:00,14.7,260,8.74
,5,2003-10-13,01:26:00,14.69,260,8.74
,5,2003-10-13,01:30:00,14.69,260,8.76
,5,2003-10-13,01:34:00,14.69,260,8.7
,5,2003-10-13,01:38:00,14.68,260,8.76
,5,2003-10-13,01:42:00,14.68,260,8.75
,5,2003-10-13,01:46:00,14.68,260,8.68
,5,2003-10-13,01:50:00,14.67,260,8.7
,5,2003-10-13,01:54:00,14.67,260,8.7
,5,2003-10-13,01:58:00,14.67,260,8.66
,5,2003-10-13,02:02:00,14.67,260,8.63
,5,2003-10-13,02:06:00,14.66,260,8.62
,5,2003-10-13,02:10:00,14.66,260,8.67
,5,2003-10-13,02:14:00,14.65,260,8.66
,5,2003-10-13,02:18:00,14.65,260,8.7
,5,2003-10-13,02:22:00,14.65,260,8.62
,5,2003-10-13,02:26:00,14.64,260,8.64
,5,2003-10-13,02:30:00,14.63,260,8.64
,5,2003-10-13,02:34:00,14.63,260,8.65
,5,2003-10-13,02:38:00,14.62,260,8.68
,5,2003-10-13,02:42:00,14.61,260,8.65
,5,2003-10-13,02:46:00,14.59,260,8.71
,5,2003-10-13,02:50:00,14.58,260,8.65
,5,2003-10-13,02:54:00,14.57,260,8.68
,5,2003-10-13,02:58:00,14.56,260,8.69
,5,2003-10-13,03:02:00,14.54,259,8.74
,5,2003-10-13,03:06:00,14.53,260,8.66
,5,2003-10-13,03:10:00,14.52,260,8.73
,5,2003-10-13,03:14:00,14.51,259,8.68
